[0820/180140.535:ERROR:gles2_command_buffer_stub.cc(226)] ContextResult::kFatalFailure: Failed to create surface.
[0820/180140.551:ERROR:gpu_process_transport_factory.cc(1029)] Lost UI shared context.
[0906/195643.059:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/195656.771:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/195700.395:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/195701.728:INFO:CONSOLE(1)] ":track:checked:16", source: about:blank (1)
[0906/195701.729:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/200432.521:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'click' of undefined", source: https://www.bcscertus.com/ScriptResource.axd?d=cVT4KlmDnocm7XFkJA9JPUsvHHG9qE4RXkAsST5ll96bcArC_cFaYUjaTkZPrX3Z0S5-Cpt0hRniBf5OxVkRjEYUTrg7sA3EjhnfqjEJtErVwRNYRvOHwVNqXGZ_YLgA0&t=3a1336b1 (2)
[0906/200433.067:INFO:CONSOLE(80)] "Mixed Content: The page at 'https://www.bcscertus.com/errorpage.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/errorpage.aspx?c=36 (80)
[0906/202146.156:INFO:CONSOLE(2695)] "Mixed Content: The page at 'https://www.bcscertus.com/search/companies.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/search/companies.aspx?c=36 (2695)
[0906/202213.831:INFO:CONSOLE(93)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/workflow.aspx?c=36 (93)
[0906/202218.445:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/202218.798:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot read property 'value' of null", source: about:blank (1)
[0906/202233.383:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/202233.522:INFO:CONSOLE(1)] ":track:checked:16", source: about:blank (1)
[0906/202233.523:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
